Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,6.823762231,4.344059831,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.69999999,4.844235895
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,-9.57564017,6.946216592,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.087711996,-3.302082039,8.908527818,4.844235895
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,0.80000058,3.8,2.8,3.8,3.7,3.2,1.3,1.2,1,-5.1,3.4,3.1
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,0.80000058,3.8,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,5.065359477,-1.866251944,3.1
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,AND,3.781387586,3.528362361,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.287199781,8.809579348
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,-3.450098685,3.054624234,4.954613031,4.82255927,0.943571561,-2.580111222,-0.147149825,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.04540301
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,3.011714684,6.203431254,-0.600876397,3.795727613,3.825293099,5.496459204,3.144638239,6.823762231,4.344059831,-17.50218503,6.554899818,8.458733325
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-2.467213778,-0.788998939,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946,5.243044499
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,-2.467213778,5.900000003,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.699999999,12.6
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,3.961401727,7.616589113,6.429816914,-0.020479214,3.54362966,2.116716123,5.482371174,5.257854913,0.635029788,-18.58909924,17.1725086,3.617588572
